name,leaf-length,leaf-width
aloe vera,4.5,0.625
aloe vera,3.25,0.75
aloe vera,6.5,0.75
aloe vera,5.5,0.5
aloe vera,6.25,0.625
aloe vera,5.25,0.75
aloe vera,5.5,0.625
aloe vera,4.5,0.5
aloe vera,5,0.5
aloe vera,4.5,0.5
aloe vera,5,0.5
aloe vera,4,0.25
aloe vera,3.5,0.25
aloe vera,3.5,0.5
aloe vera,3.5,0.5
aloe vera,3.5,0.5
aloe vera,3.5,0.375
aloe vera,0.75,0.25
parlor palm,1,0.125
parlor palm,1.375,0.188
parlor palm,1.5,0.25
parlor palm,1.625,0.188
parlor palm,1.5,0.188
parlor palm,1.25,0.25
parlor palm,1.25,0.188
parlor palm,1.188,0.125
parlor palm,1.5,0.188
parlor palm,1.5,0.188
parlor palm,1.5,0.25
parlor palm,1.25,0.188
parlor palm,0.75,0.125
parlor palm,2,0.5
parlor palm,2.125,0.25
parlor palm,2.375,0.25
parlor palm,2.75,0.375
parlor palm,2.075,0.375
parlor palm,2.5,0.25
parlor palm,1.625,0.188
dwarf umbrella,1.875,0.5
dwarf umbrella,1.625,0.5
dwarf umbrella,2,0.625
dwarf umbrella,1.5,0.5
dwarf umbrella,1.25,0.5
dwarf umbrella,1.25,0.625
dwarf umbrella,1.375,0.5
dwarf umbrella,1.625,0.5
dwarf umbrella,1.875,0.688
dwarf umbrella,1.625,0.5
dwarf umbrella,1.5,0.5
dwarf umbrella,1.25,0.375
dwarf umbrella,1.625,0.5
dwarf umbrella,1.875,0.5
dwarf umbrella,1.625,0.5
dwarf umbrella,1.375,0.375
dwarf umbrella,1.25,0.5
dwarf umbrella,2.25,0.625
dwarf umbrella,1.75,0.5
dwarf umbrella,1.5,0.5
dwarf umbrella,1.25,0.375
dwarf umbrella,1.375,0.5
dwarf umbrella,1.5,0.5
dwarf umbrella,1.875,0.688
corn plant,4.75,0.875
corn plant,5.25,0.75
corn plant,5,0.5
corn plant,4.25,1
corn plant,4.25,0.875
corn plant,3.25,1
corn plant,5.5,0.875
corn plant,5,0.75
corn plant,4,0.75
corn plant,5.75,1
corn plant,6,0.75
corn plant,6,0.75
corn plant,5.875,0.75
corn plant,5.25,0.75
corn plant,6,1
corn plant,5.5,0.875
corn plant,5.5,0.75